CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1152529,GESTÃO DA INFORMAÇÃO,5,52,5208707,1,1,0322G01,Gestão da informação,03,"Ciências sociais, comunicação e informação",2015,2021,5,2019,8,2022,46,0,1,1,0,0,30.43478261,69.56521739,2.173913043,2.173913043
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1178874,DESIGN DE AMBIENTES,5,52,5208707,1,1,0212D03,Design de interiores,02,Artes e humanidades,2015,2015,5,2019,8,2022,29,27,0,2,0,93.10344828,0,6.896551724,0,6.896551724
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1178874,DESIGN DE AMBIENTES,5,52,5208707,1,1,0212D03,Design de interiores,02,Artes e humanidades,2015,2016,5,2019,8,2022,29,26,0,0,1,92.85714286,0,7.142857143,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1178874,DESIGN DE AMBIENTES,5,52,5208707,1,1,0212D03,Design de interiores,02,Artes e humanidades,2015,2017,5,2019,8,2022,29,23,0,3,0,82.14285714,0,17.85714286,0,10.71428571
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1178874,DESIGN DE AMBIENTES,5,52,5208707,1,1,0212D03,Design de interiores,02,Artes e humanidades,2015,2018,5,2019,8,2022,29,17,5,1,0,60.71428571,17.85714286,21.42857143,17.85714286,3.571428571
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1178874,DESIGN DE AMBIENTES,5,52,5208707,1,1,0212D03,Design de interiores,02,Artes e humanidades,2015,2019,5,2019,8,2022,29,6,10,1,0,21.42857143,53.57142857,25,35.71428571,3.571428571
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1178874,DESIGN DE AMBIENTES,5,52,5208707,1,1,0212D03,Design de interiores,02,Artes e humanidades,2015,2020,5,2019,8,2022,29,3,1,2,0,10.71428571,57.14285714,32.14285714,3.571428571,7.142857143
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1178874,DESIGN DE AMBIENTES,5,52,5208707,1,1,0212D03,Design de interiores,02,Artes e humanidades,2015,2021,5,2019,8,2022,29,2,0,1,0,7.142857143,57.14285714,35.71428571,0,3.571428571
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188874,RELAÇÕES INTERNACIONAIS,5,52,5208707,1,1,0312R01,Relações internacionais,03,"Ciências sociais, comunicação e informação",2015,2015,5,2019,8,2022,45,41,0,4,0,91.11111111,0,8.888888889,0,8.888888889
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188874,RELAÇÕES INTERNACIONAIS,5,52,5208707,1,1,0312R01,Relações internacionais,03,"Ciências sociais, comunicação e informação",2015,2016,5,2019,8,2022,45,41,0,0,0,91.11111111,0,8.888888889,0,0
